Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link
Pashmina - Banarasi Saree -Navy Blue Colour QA255417,QA255417,1,5995,5480,https://byrappasilk.in/storage/uploads/U1U3eq2Sk1UZRHZFSF9nFTqu7M0uk5mmUsU6szT1.webp,https://byrappasilks.in/shop/pashmina_banarasi_saree_navy_blue_colour_qa255417_1747470807
Satin Printed  Saree - Dark yellow Colour QA255418,QA255418,0,3395,3100,https://byrappasilk.in/storage/uploads/5pHOYB1oe0CQOESBuBnYNeDFc6rKUBADvBmOC2Qd.webp,https://byrappasilks.in/shop/satin_printed_saree_dark_yellow_colour_qa255418_1746259031
Satin Printed Sarees - Blue Colour QA255500,QA255500,0,3995,3650,https://byrappasilk.in/storage/uploads/TMbnGQwrgGA9FNxW5iPgTW2LgO9fpU62r5a3YuKS.webp,https://byrappasilks.in/shop/satin_printed_sarees_blue_colour_qa255500_1745654599
Satin Printed  Saree - Green & yellow Colour  QA255507,QA255507,0,3995,3650,https://byrappasilk.in/storage/uploads/fR9X224nnHKSXOSFyKtWioHXG5V7fVZNshH3zq1Z.webp,https://byrappasilks.in/shop/satin_printed_saree_green_yellow_colour_qa255507_1746258838
Satin Printed  Saree - Black Colour QA255531,QA255531,0,3995,3650,https://byrappasilk.in/storage/uploads/nT7SQ7WtIUBwVLgDKJ424YrzjiHHIy8USGliqgZd.webp,https://byrappasilks.in/shop/satin_printed_saree_black_colour_qa255531_1745654463
kadiyal Semi Silk Saree - Red Colour -QA254551,QA254551,0,2865,2620,https://byrappasilk.in/storage/uploads/8LzXLNWswm46FLe08Efii9dN3WqrUedryav55WiD.webp,https://byrappasilks.in/shop/kadiyal_semi_silk_saree_red_colour_qa254551_1746265738
Pashmina Jaal Saree -Black colour QS208405,QS208405,0,5995,5480,https://byrappasilk.in/storage/uploads/zyqdXTETYVYkucQa3UJZu6CS49lpT7aZZW8wNYVG.webp,https://byrappasilks.in/shop/pashmina_jaal_saree_black_colour_qs208405_1766467594
Pashmina - Banarasi Saree - Half white Colour QS209227,QS209227,0,6000,3150,https://byrappasilk.in/storage/uploads/cehpGJn7wuQJb13uEkicbLK1CvK0jAzMMTqAZZsk.webp,https://byrappasilks.in/shop/pashmina_banarasi_saree_half_white_colour_qs209227_1747470575
Pasmina Banarasi  Sarees - Black Colour QS208576,QS208576,0,5995,5480,https://byrappasilk.in/storage/uploads/RQ7DeckMj0qO1qNkncyJsTZNvmLhamObkDaaY4xE.webp,https://byrappasilks.in/shop/pasmina_banarasi_sarees_black_colour_qs208576_1747389385
Pashmina Sarees - Cream Colour QS211656,QS211656,0,5995,5480,https://byrappasilk.in/storage/uploads/e3fLio4jIGr5ccGMyp8scsbxxtptlLdLgXxswqoG.webp,https://byrappasilks.in/shop/pashmina_sarees_cream_colour_qs211656_1747066564
Pashmina - Banarasi Saree - Yellow Colour QS208599,QS208599,0,6000,3150,https://byrappasilk.in/storage/uploads/sw3sMOtV227PPYmpWHx3m8ZOxU46Ql9g1ZxCQrBh.webp,https://byrappasilks.in/shop/pashmina_banarasi_saree_yellow_colour_qs208599
Banarasi Saree -Dark pink Colour With Pink Border - QS212518,QS212518,0,5995,5480,https://byrappasilk.in/storage/uploads/kD7WiuXfwJDLsBEUcHcnwtj8FR3qM7vPseZ4tqMb.webp,https://byrappasilks.in/shop/banarasi_saree_dark_pink_colour_with_pink_border_qs212518_1747908347
Banarasi Saree -Green Colour - QS212520,QS212520,0,5995,5480,https://byrappasilk.in/storage/uploads/nvn3HRaOQ62TnBJZbhitrVKd6W0Bs9Dg2juCVJn8.webp,https://byrappasilks.in/shop/banarasi_saree_green_colour_qs212520_1747908892
Floral Organza Saree With Aplic Work - White Colour - QS212142,QS212142,1,5995,5480,https://byrappasilk.in/storage/uploads/i4ZBT5jBoxnJ6Dr0rp7MEeu9gAOhPDIwzDd0Pbly.webp,https://byrappasilks.in/shop/floral_organza_saree_with_aplic_work_white_colour_qs212142
Pure Mysore Silk Saree - Black Colour - QS212816,QS212816,0,13995,12785,https://byrappasilk.in/storage/uploads/WxgORwvpJQmvc4CADC73YDh6khXWxY0BebJBPNHM.webp,https://byrappasilks.in/shop/pure_mysore_silk_saree_black_colour_qs212816_1749113695
Pure Organza Sarees - White With Red Work - QS214147,QS214147,0,14665,13400,https://byrappasilk.in/storage/uploads/lmAesfuJgotFJb9pRyl3tAO6JZhnotjArSwBNazY.webp,https://byrappasilks.in/shop/pure_organza_sarees_white_with_red_work_qs214147_1748528254
Kalamkari With Kanchi Border Sarees  - QS213046,QS213046,0,3995,3650,https://byrappasilk.in/storage/uploads/xYgK3ALyGn8IvQCWbgg6lzAuSPoI4RoW5GYQUifS.webp,https://byrappasilks.in/shop/kalamkari_with_kanchi_border_sarees_qs213046_1748694002
Kalamkari With Kanchi Border Sarees - QS213014,QS213014,0,3995,3650,https://byrappasilk.in/storage/uploads/PNzWtz5Mrw8ZnxN9wr173x0quvRfEayxXNBNI00W.webp,https://byrappasilks.in/shop/kalamkari_with_kanchi_border_sarees_qs213014_1748694300
Organza Saree With Aplic Work - Black Colour - QS213061,QS213061,0,5995,5480,https://byrappasilk.in/storage/uploads/2t7iTUE8Eel0mT8aXxkqoZ4VX8Ac6jdjxKuPw2Ci.webp,https://byrappasilks.in/shop/organza_saree_with_aplic_work_black_colour_qs213061_1766046416
